Эмодзи: 🥇, Идентификатор: :1st_place_medal:
Эмодзи: 🫱🏼‍🫲🏽, Идентификатор: :handshake_medium-light_skin_tone_medium_skin_tone:
Эмодзи: 🤝🏽, Идентификатор: :handshake_medium_skin_tone:
Эмодзи: 🫱🏽‍🫲🏿, Идентификатор: :handshake_medium_skin_tone_dark_skin_tone:
Эмодзи: 🫱🏽‍🫲🏻, Идентификатор: :handshake_medium_skin_tone_light_skin_tone:
Эмодзи: 🫱🏽‍🫲🏾, Идентификатор: :handshake_medium_skin_tone_medium-dark_skin_tone:
Эмодзи: 🫱🏽‍🫲🏼, Идентификатор: :handshake_medium_skin_tone_medium-light_skin_tone:
Эмодзи: 🪉, Идентификатор: :harp:
Эмодзи: 🐣, Идентификатор: :hatching_chick:
Эмодзи: 🙂‍↔️, Идентификатор: :head_shaking_horizontally:
Эмодзи: 🙂‍↔, Идентификатор: :head_shaking_horizontally:
Эмодзи: 🙂‍↕️, Идентификатор: :head_shaking_vertically:
Эмодзи: 🙂‍↕, Идентификатор: :head_shaking_vertically:
Эмодзи: 🎧, Идентификатор: :headphone:
Эмодзи: 🪦, Идентификатор: :headstone:
Эмодзи: 🧑‍⚕️, Идентификатор: :health_worker:
Эмодзи: 🧑‍⚕, Идентификатор: :health_worker:
Эмодзи: 🧑🏿‍⚕️, Идентификатор: :health_worker_dark_skin_tone:
Эмодзи: 🧑🏿‍⚕, Идентификатор: :health_worker_dark_skin_tone:
Эмодзи: 🧑🏻‍⚕️, Идентификатор: :health_worker_light_skin_tone:
Эмодзи: 🧑🏻‍⚕, Идентификатор: :health_worker_light_skin_tone:
Эмодзи: 🧑🏾‍⚕️, Идентификатор: :health_worker_medium-dark_skin_tone:
Эмодзи: 🧑🏾‍⚕, Идентификатор: :health_worker_medium-dark_skin_tone:
Эмодзи: 🧑🏼‍⚕️, Идентификатор: :health_worker_medium-light_skin_tone:
Эмодзи: 🧑🏼‍⚕, Идентификатор: :health_worker_medium-light_skin_tone:
Эмодзи: 🧑🏽‍⚕️, Идентификатор: :health_worker_medium_skin_tone:
Эмодзи: 🧑🏽‍⚕, Идентификатор: :health_worker_medium_skin_tone:
Эмодзи: 🙉, Идентификатор: :hear-no-evil_monkey:
Эмодзи: 💟, Идентификатор: :heart_decoration:
Эмодзи: ❣️, Идентификатор: :heart_exclamation:
Эмодзи: ❣, Идентификатор: :heart_exclamation:
Эмодзи: 🫶, Идентификатор: :heart_hands:
Эмодзи: 🫶🏿, Идентификатор: :heart_hands_dark_skin_tone:
Эмодзи: 🫶🏻, Идентификатор: :heart_hands_light_skin_tone:
Эмодзи: 🫶🏾, Идентификатор: :heart_hands_medium-dark_skin_tone:
Эмодзи: 🫶🏼, Идентификатор: :heart_hands_medium-light_skin_tone:
Эмодзи: 🫶🏽, Идентификатор: :heart_hands_medium_skin_tone:
Эмодзи: ❤️‍🔥, Идентификатор: :heart_on_fire:
Эмодзи: ❤‍🔥, Идентификатор: :heart_on_fire:
Эмодзи: ♥️, Идентификатор: :heart_suit:
Эмодзи: ♥, Идентификатор: :heart_suit:
Эмодзи: 💘, Идентификатор: :heart_with_arrow:
Эмодзи: 💝, Идентификатор: :heart_with_ribbon:
Эмодзи: 💲, Идентификатор: :heavy_dollar_sign:
Эмодзи: 🟰, Идентификатор: :heavy_equals_sign:
Эмодзи: 🦔, Идентификатор: :hedgehog:
Эмодзи: 🚁, Идентификатор: :helicopter:
Эмодзи: 🌿, Идентификатор: :herb:
Эмодзи: 🌺, Идентификатор: :hibiscus:
Эмодзи: 👠, Идентификатор: :high-heeled_shoe:
Эмодзи: 🚄, Идентификатор: :high-speed_train:
Эмодзи: ⚡, Идентификатор: :high_voltage:
Эмодзи: 🥾, Идентификатор: :hiking_boot:
Эмодзи: 🛕, Идентификатор: :hindu_temple:
Эмодзи: 🦛, Идентификатор: :hippopotamus:
Эмодзи: 🕳️, Идентификатор: :hole:
Эмодзи: 🕳, Идентификатор: :hole:
Эмодзи: ⭕, Идентификатор: :hollow_red_circle:
Эмодзи: 🍯, Идентификатор: :honey_pot:
Эмодзи: 🐝, Идентификатор: :honeybee:
Эмодзи: 🪝, Идентификатор: :hook:
Эмодзи: 🚥, Идентификатор: :horizontal_traffic_light:
Эмодзи: 🐎, Идентификатор: :horse:
Эмодзи: 🐴, Идентификатор: :horse_face:
Эмодзи: 🏇, Идентификатор: :horse_racing:
Эмодзи: 🏇🏿, Идентификатор: :horse_racing_dark_skin_tone:
Эмодзи: 🏇🏻, Идентификатор: :horse_racing_light_skin_tone:
Эмодзи: 🏇🏾, Идентификатор: :horse_racing_medium-dark_skin_tone:
Эмодзи: 🏇🏼, Идентификатор: :horse_racing_medium-light_skin_tone:
Эмодзи: 🏇🏽, Идентификатор: :horse_racing_medium_skin_tone:
Эмодзи: 🏥, Идентификатор: :hospital:
Эмодзи: ☕, Идентификатор: :hot_beverage:
Эмодзи: 🌭, Идентификатор: :hot_dog:
Эмодзи: 🥵, Идентификатор: :hot_face:
Эмодзи: 🌶️, Идентификатор: :hot_pepper:
Эмодзи: 🌶, Идентификатор: :hot_pepper:
Эмодзи: ♨️, Идентификатор: :hot_springs:
Эмодзи: ♨, Идентификатор: :hot_springs:
Эмодзи: 🏨, Идентификатор: :hotel:
Эмодзи: ⌛, Идентификатор: :hourglass_done:
Эмодзи: ⏳, Идентификатор: :hourglass_not_done:
Эмодзи: 🏠, Идентификатор: :house:
Эмодзи: 🏡, Идентификатор: :house_with_garden:
Эмодзи: 🏘️, Идентификатор: :houses:
Эмодзи: 🏘, Идентификатор: :houses:
Эмодзи: 💯, Идентификатор: :hundred_points:
Эмодзи: 😯, Идентификатор: :hushed_face:
Эмодзи: 🛖, Идентификатор: :hut:
Эмодзи: 🪻, Идентификатор: :hyacinth:
Эмодзи: 🧊, Идентификатор: :ice:
Эмодзи: 🍨, Идентификатор: :ice_cream:
Эмодзи: 🏒, Идентификатор: :ice_hockey:
Эмодзи: ⛸️, Идентификатор: :ice_skate:
Эмодзи: ⛸, Идентификатор: :ice_skate:
Эмодзи: 🪪, Идентификатор: :identification_card:
Эмодзи: 📥, Идентификатор: :inbox_tray:
Эмодзи: 📨, Идентификатор: :incoming_envelope:
Эмодзи: 🫵, Идентификатор: :index_pointing_at_the_viewer:
Эмодзи: 🫵🏿, Идентификатор: :index_pointing_at_the_viewer_dark_skin_tone:
Эмодзи: 🫵🏻, Идентификатор: :index_pointing_at_the_viewer_light_skin_tone:
Эмодзи: 🫵🏾, Идентификатор: :index_pointing_at_the_viewer_medium-dark_skin_tone:
Эмодзи: 🫵🏼, Идентификатор: :index_pointing_at_the_viewer_medium-light_skin_tone:
Эмодзи: 🫵🏽, Идентификатор: :index_pointing_at_the_viewer_medium_skin_tone:
Эмодзи: ☝️, Идентификатор: :index_pointing_up:
Эмодзи: ☝, Идентификатор: :index_pointing_up:
Эмодзи: ☝🏿, Идентификатор: :index_pointing_up_dark_skin_tone:
Эмодзи: ☝🏻, Идентификатор: :index_pointing_up_light_skin_tone:
Эмодзи: ☝🏾, Идентификатор: :index_pointing_up_medium-dark_skin_tone:
Эмодзи: ☝🏼, Идентификатор: :index_pointing_up_medium-light_skin_tone:
Эмодзи: ☝🏽, Идентификатор: :index_pointing_up_medium_skin_tone:
Эмодзи: ♾️, Идентификатор: :infinity:
Эмодзи: ♾, Идентификатор: :infinity:
Эмодзи: ℹ️, Идентификатор: :information:
Эмодзи: ℹ, Идентификатор: :information:
Эмодзи: 🔤, Идентификатор: :input_latin_letters:
Эмодзи: 🔡, Идентификатор: :input_latin_lowercase:
Эмодзи: 🔠, Идентификатор: :input_latin_uppercase:
Эмодзи: 🔢, Идентификатор: :input_numbers:
Эмодзи: 🔣, Идентификатор: :input_symbols:
Эмодзи: 🎃, Идентификатор: :jack-o-lantern:
Эмодзи: 🫙, Идентификатор: :jar:
Эмодзи: 👖, Идентификатор: :jeans:
Эмодзи: 🪼, Идентификатор: :jellyfish:
Эмодзи: 🃏, Идентификатор: :joker:
Эмодзи: 🕹️, Идентификатор: :joystick:
Эмодзи: 🕹, Идентификатор: :joystick:
Эмодзи: 🧑‍⚖️, Идентификатор: :judge:
Эмодзи: 🧑‍⚖, Идентификатор: :judge:
Эмодзи: 🧑🏿‍⚖️, Идентификатор: :judge_dark_skin_tone:
Эмодзи: 🧑🏿‍⚖, Идентификатор: :judge_dark_skin_tone:
Эмодзи: 🧑🏻‍⚖️, Идентификатор: :judge_light_skin_tone:
Эмодзи: 🧑🏻‍⚖, Идентификатор: :judge_light_skin_tone:
Эмодзи: 🧑🏾‍⚖️, Идентификатор: :judge_medium-dark_skin_tone:
Эмодзи: 🧑🏾‍⚖, Идентификатор: :judge_medium-dark_skin_tone:
Эмодзи: 🧑🏼‍⚖️, Идентификатор: :judge_medium-light_skin_tone:
Эмодзи: 🧑🏼‍⚖, Идентификатор: :judge_medium-light_skin_tone:
Эмодзи: 🧑🏽‍⚖️, Идентификатор: :judge_medium_skin_tone:
Эмодзи: 🧑🏽‍⚖, Идентификатор: :judge_medium_skin_tone:
Эмодзи: 🕋, Идентификатор: :kaaba:
Эмодзи: 🦘, Идентификатор: :kangaroo:
Эмодзи: 🔑, Идентификатор: :key:
Эмодзи: ⌨️, Идентификатор: :keyboard:
Эмодзи: ⌨, Идентификатор: :keyboard:
Эмодзи: #️⃣, Идентификатор: :keycap_#:
Эмодзи: #⃣, Идентификатор: :keycap_#:
Эмодзи: *️⃣, Идентификатор: :keycap_*:
Эмодзи: *⃣, Идентификатор: :keycap_*:
Эмодзи: 0️⃣, Идентификатор: :keycap_0:
Эмодзи: 0⃣, Идентификатор: :keycap_0:
Эмодзи: 1️⃣, Идентификатор: :keycap_1:
Эмодзи: 1⃣, Идентификатор: :keycap_1:
Эмодзи: 🔟, Идентификатор: :keycap_10:
Эмодзи: 2️⃣, Идентификатор: :keycap_2:
Эмодзи: 2⃣, Идентификатор: :keycap_2:
Эмодзи: 3️⃣, Идентификатор: :keycap_3:
Эмодзи: 3⃣, Идентификатор: :keycap_3:
Эмодзи: 4️⃣, Идентификатор: :keycap_4:
Эмодзи: 4⃣, Идентификатор: :keycap_4:
Эмодзи: 5️⃣, Идентификатор: :keycap_5:
Эмодзи: 5⃣, Идентификатор: :keycap_5:
Эмодзи: 6️⃣, Идентификатор: :keycap_6:
Эмодзи: 6⃣, Идентификатор: :keycap_6:
Эмодзи: 7️⃣, Идентификатор: :keycap_7:
Эмодзи: 7⃣, Идентификатор: :keycap_7:
Эмодзи: 8️⃣, Идентификатор: :keycap_8:
Эмодзи: 8⃣, Идентификатор: :keycap_8:
Эмодзи: 9️⃣, Идентификатор: :keycap_9:
Эмодзи: 9⃣, Идентификатор: :keycap_9:
Эмодзи: 🪯, Идентификатор: :khanda:
Эмодзи: 🛴, Идентификатор: :kick_scooter:
Эмодзи: 👘, Идентификатор: :kimono:
Эмодзи: 💏, Идентификатор: :kiss:
Эмодзи: 💏🏿, Идентификатор: :kiss_dark_skin_tone:
Эмодзи: 💏🏻, Идентификатор: :kiss_light_skin_tone:
Эмодзи: 👨‍❤️‍💋‍👨, Идентификатор: :kiss_man_man:
Эмодзи: 👨‍❤‍💋‍👨, Идентификатор: :kiss_man_man:
Эмодзи: 👨🏿‍❤️‍💋‍👨🏿, Идентификатор: :kiss_man_man_dark_skin_tone:
Эмодзи: 👨🏿‍❤‍💋‍👨🏿, Идентификатор: :kiss_man_man_dark_skin_tone:
Эмодзи: 👨🏿‍❤️‍💋‍👨🏻, Идентификатор: :kiss_man_man_dark_skin_tone_light_skin_tone:
Эмодзи: 👨🏿‍❤‍💋‍👨🏻, Идентификатор: :kiss_man_man_dark_skin_tone_light_skin_tone:
Эмодзи: 👨🏿‍❤️‍💋‍👨🏾, Идентификатор: :kiss_man_man_dark_skin_tone_medium-dark_skin_tone:
Эмодзи: 👨🏿‍❤‍💋‍👨🏾, Идентификатор: :kiss_man_man_dark_skin_tone_medium-dark_skin_tone:
Эмодзи: 👨🏿‍❤️‍💋‍👨🏼, Идентификатор: :kiss_man_man_dark_skin_tone_medium-light_skin_tone:
Эмодзи: 👨🏿‍❤‍💋‍👨🏼, Идентификатор: :kiss_man_man_dark_skin_tone_medium-light_skin_tone:
Эмодзи: 👨🏿‍❤️‍💋‍👨🏽, Идентификатор: :kiss_man_man_dark_skin_tone_medium_skin_tone:
Эмодзи: 👨🏿‍❤‍💋‍👨🏽, Идентификатор: :kiss_man_man_dark_skin_tone_medium_skin_tone:
Эмодзи: 👨🏻‍❤️‍💋‍👨🏻, Идентификатор: :kiss_man_man_light_skin_tone:
Эмодзи: 👨🏻‍❤‍💋‍👨🏻, Идентификатор: :kiss_man_man_light_skin_tone:
Эмодзи: 👨🏻‍❤️‍💋‍👨🏿, Идентификатор: :kiss_man_man_light_skin_tone_dark_skin_tone:
Эмодзи: 👨🏻‍❤‍💋‍👨🏿, Идентификатор: :kiss_man_man_light_skin_tone_dark_skin_tone:
Эмодзи: 👨🏻‍❤️‍💋‍👨🏾, Идентификатор: :kiss_man_man_light_skin_tone_medium-dark_skin_tone:
Эмодзи: 👨🏻‍❤‍💋‍👨🏾, Идентификатор: :kiss_man_man_light_skin_tone_medium-dark_skin_tone:
Эмодзи: 👨🏻‍❤️‍💋‍👨🏼, Идентификатор: :kiss_man_man_light_skin_tone_medium-light_skin_tone:
Эмодзи: 👨🏻‍❤‍💋‍👨🏼, Идентификатор: :kiss_man_man_light_skin_tone_medium-light_skin_tone:
Эмодзи: 👨🏻‍❤️‍💋‍👨🏽, Идентификатор: :kiss_man_man_light_skin_tone_medium_skin_tone:
Эмодзи: 👨🏻‍❤‍💋‍👨🏽, Идентификатор: :kiss_man_man_light_skin_tone_medium_skin_tone:
Эмодзи: 👨🏾‍❤️‍💋‍👨🏾, Идентификатор: :kiss_man_man_medium-dark_skin_tone:
Эмодзи: 👨🏾‍❤‍💋‍👨🏾, Идентификатор: :kiss_man_man_medium-dark_skin_tone:
Эмодзи: 👨🏾‍❤️‍💋‍👨🏿, Идентификатор: :kiss_man_man_medium-dark_skin_tone_dark_skin_tone:
Эмодзи: 👨🏾‍❤‍💋‍👨🏿, Идентификатор: :kiss_man_man_medium-dark_skin_tone_dark_skin_tone:
Эмодзи: 👨🏾‍❤️‍💋‍👨🏻, Идентификатор: :kiss_man_man_medium-dark_skin_tone_light_skin_tone:
Эмодзи: 👨🏾‍❤‍💋‍👨🏻, Идентификатор: :kiss_man_man_medium-dark_skin_tone_light_skin_tone:
Эмодзи: 👨🏾‍❤️‍💋‍👨🏼, Идентификатор: :kiss_man_man_medium-dark_skin_tone_medium-light_skin_tone:
Эмодзи: 👨🏾‍❤‍💋‍👨🏼, Идентификатор: :kiss_man_man_medium-dark_skin_tone_medium-light_skin_tone:
Эмодзи: 👨🏾‍❤️‍💋‍👨🏽, Идентификатор: :kiss_man_man_medium-dark_skin_tone_medium_skin_tone:
Эмодзи: 👨🏾‍❤‍💋‍👨🏽, Идентификатор: :kiss_man_man_medium-dark_skin_tone_medium_skin_tone:
Эмодзи: 👨🏼‍❤️‍💋‍👨🏼, Идентификатор: :kiss_man_man_medium-light_skin_tone:
Эмодзи: 👨🏼‍❤‍💋‍👨🏼, Идентификатор: :kiss_man_man_medium-light_skin_tone:
Эмодзи: 👨🏼‍❤️‍💋‍👨🏿, Идентификатор: :kiss_man_man_medium-light_skin_tone_dark_skin_tone:
Эмодзи: 👨🏼‍❤‍💋‍👨🏿, Идентификатор: :kiss_man_man_medium-light_skin_tone_dark_skin_tone:
Эмодзи: 👨🏼‍❤️‍💋‍👨🏻, Идентификатор: :kiss_man_man_medium-light_skin_tone_light_skin_tone:
Эмодзи: 👨🏼‍❤‍💋‍👨🏻, Идентификатор: :kiss_man_man_medium-light_skin_tone_light_skin_tone:
Эмодзи: 👨🏼‍❤️‍💋‍👨🏾, Идентификатор: :kiss_man_man_medium-light_skin_tone_medium-dark_skin_tone:
Эмодзи: 👨🏼‍❤‍💋‍👨🏾, Идентификатор: :kiss_man_man_medium-light_skin_tone_medium-dark_skin_tone:
Эмодзи: 👨🏼‍❤️‍💋‍👨🏽, Идентификатор: :kiss_man_man_medium-light_skin_tone_medium_skin_tone:
Эмодзи: 👨🏼‍❤‍💋‍👨🏽, Идентификатор: :kiss_man_man_medium-light_skin_tone_medium_skin_tone:
Эмодзи: 👨🏽‍❤️‍💋‍👨🏽, Идентификатор: :kiss_man_man_medium_skin_tone:
Эмодзи: 👨🏽‍❤‍💋‍👨🏽, Идентификатор: :kiss_man_man_medium_skin_tone:
Эмодзи: 👨🏽‍❤️‍💋‍👨🏿, Идентификатор: :kiss_man_man_medium_skin_tone_dark_skin_tone:
Эмодзи: 👨🏽‍❤‍💋‍👨🏿, Идентификатор: :kiss_man_man_medium_skin_tone_dark_skin_tone:
Эмодзи: 👨🏽‍❤️‍💋‍👨🏻, Идентификатор: :kiss_man_man_medium_skin_tone_light_skin_tone:
Эмодзи: 👨🏽‍❤‍💋‍👨🏻, Идентификатор: :kiss_man_man_medium_skin_tone_light_skin_tone:
Эмодзи: 👨🏽‍❤️‍💋‍👨🏾, Идентификатор: :kiss_man_man_medium_skin_tone_medium-dark_skin_tone:
Эмодзи: 👨🏽‍❤‍💋‍👨🏾, Идентификатор: :kiss_man_man_medium_skin_tone_medium-dark_skin_tone:
Эмодзи: 👨🏽‍❤️‍💋‍👨🏼, Идентификатор: :kiss_man_man_medium_skin_tone_medium-light_skin_tone:
Эмодзи: 👨🏽‍❤‍💋‍👨🏼, Идентификатор: :kiss_man_man_medium_skin_tone_medium-light_skin_tone:
Эмодзи: 💋, Идентификатор: :kiss_mark:
Эмодзи: 💏🏾, Идентификатор: :kiss_medium-dark_skin_tone:
Эмодзи: 💏🏼, Идентификатор: :kiss_medium-light_skin_tone:
Эмодзи: 💏🏽, Идентификатор: :kiss_medium_skin_tone:
Эмодзи: 🧑🏿‍❤️‍💋‍🧑🏻, Идентификатор: :kiss_person_person_dark_skin_tone_light_skin_tone:
Эмодзи: 🧑🏿‍❤‍💋‍🧑🏻, Идентификатор: :kiss_person_person_dark_skin_tone_light_skin_tone:
Эмодзи: 🧑🏿‍❤️‍💋‍🧑🏾, Идентификатор: :kiss_person_person_dark_skin_tone_medium-dark_skin_tone:
Эмодзи: 🧑🏿‍❤‍💋‍🧑🏾, Идентификатор: :kiss_person_person_dark_skin_tone_medium-dark_skin_tone:
Эмодзи: 🧑🏿‍❤️‍💋‍🧑🏼, Идентификатор: :kiss_person_person_dark_skin_tone_medium-light_skin_tone:
Эмодзи: 🧑🏿‍❤‍💋‍🧑🏼, Идентификатор: :kiss_person_person_dark_skin_tone_medium-light_skin_tone:
Эмодзи: 🧑🏿‍❤️‍💋‍🧑🏽, Идентификатор: :kiss_person_person_dark_skin_tone_medium_skin_tone:
Эмодзи: 🧑🏿‍❤‍💋‍🧑🏽, Идентификатор: :kiss_person_person_dark_skin_tone_medium_skin_tone:
Эмодзи: 🧑🏻‍❤️‍💋‍🧑🏿, Идентификатор: :kiss_person_person_light_skin_tone_dark_skin_tone:
Эмодзи: 🧑🏻‍❤‍💋‍🧑🏿, Идентификатор: :kiss_person_person_light_skin_tone_dark_skin_tone:
Эмодзи: 🧑🏻‍❤️‍💋‍🧑🏾, Идентификатор: :kiss_person_person_light_skin_tone_medium-dark_skin_tone:
Эмодзи: 🧑🏻‍❤‍💋‍🧑🏾, Идентификатор: :kiss_person_person_light_skin_tone_medium-dark_skin_tone:
Эмодзи: 🧑🏻‍❤️‍💋‍🧑🏼, Идентификатор: :kiss_person_person_light_skin_tone_medium-light_skin_tone:
Эмодзи: 🧑🏻‍❤‍💋‍🧑🏼, Идентификатор: :kiss_person_person_light_skin_tone_medium-light_skin_tone:
Эмодзи: 🧑🏻‍❤️‍💋‍🧑🏽, Идентификатор: :kiss_person_person_light_skin_tone_medium_skin_tone:
Эмодзи: 🧑🏻‍❤‍💋‍🧑🏽, Идентификатор: :kiss_person_person_light_skin_tone_medium_skin_tone:
Эмодзи: 🧑🏾‍❤️‍💋‍🧑🏿, Идентификатор: :kiss_person_person_medium-dark_skin_tone_dark_skin_tone:
Эмодзи: 🧑🏾‍❤‍💋‍🧑🏿, Идентификатор: :kiss_person_person_medium-dark_skin_tone_dark_skin_tone:
Эмодзи: 🧑🏾‍❤️‍💋‍🧑🏻, Идентификатор: :kiss_person_person_medium-dark_skin_tone_light_skin_tone:
Эмодзи: 🧑🏾‍❤‍💋‍🧑🏻, Идентификатор: :kiss_person_person_medium-dark_skin_tone_light_skin_tone:
Эмодзи: 🧑🏾‍❤️‍💋‍🧑🏼, Идентификатор: :kiss_person_person_medium-dark_skin_tone_medium-light_skin_tone:
Эмодзи: 🧑🏾‍❤‍💋‍🧑🏼, Идентификатор: :kiss_person_person_medium-dark_skin_tone_medium-light_skin_tone:
Эмодзи: 🧑🏾‍❤️‍💋‍🧑🏽, Идентификатор: :kiss_person_person_medium-dark_skin_tone_medium_skin_tone:
Эмодзи: 🧑🏾‍❤‍💋‍🧑🏽, Идентификатор: :kiss_person_person_medium-dark_skin_tone_medium_skin_tone:
Эмодзи: 🧑🏼‍❤️‍💋‍🧑🏿, Идентификатор: :kiss_person_person_medium-light_skin_tone_dark_skin_tone:
Эмодзи: 🧑🏼‍❤‍💋‍🧑🏿, Идентификатор: :kiss_person_person_medium-light_skin_tone_dark_skin_tone:
Эмодзи: 🧑🏼‍❤️‍💋‍🧑🏻, Идентификатор: :kiss_person_person_medium-light_skin_tone_light_skin_tone:
Эмодзи: 🧑🏼‍❤‍💋‍🧑🏻, Идентификатор: :kiss_person_person_medium-light_skin_tone_light_skin_tone:
Эмодзи: 🧑🏼‍❤️‍💋‍🧑🏾, Идентификатор: :kiss_person_person_medium-light_skin_tone_medium-dark_skin_tone:
Эмодзи: 🧑🏼‍❤‍💋‍🧑🏾, Идентификатор: :kiss_person_person_medium-light_skin_tone_medium-dark_skin_tone:
Эмодзи: 🧑🏼‍❤️‍💋‍🧑🏽, Идентификатор: :kiss_person_person_medium-light_skin_tone_medium_skin_tone:
Эмодзи: 🧑🏼‍❤‍💋‍🧑🏽, Идентификатор: :kiss_person_person_medium-light_skin_tone_medium_skin_tone:
Эмодзи: 🧑🏽‍❤️‍💋‍🧑🏿, Идентификатор: :kiss_person_person_medium_skin_tone_dark_skin_tone:
Эмодзи: 🧑🏽‍❤‍💋‍🧑🏿, Идентификатор: :kiss_person_person_medium_skin_tone_dark_skin_tone:
Эмодзи: 🧑🏽‍❤️‍💋‍🧑🏻, Идентификатор: :kiss_person_person_medium_skin_tone_light_skin_tone:
Эмодзи: 🧑🏽‍❤‍💋‍🧑🏻, Идентификатор: :kiss_person_person_medium_skin_tone_light_skin_tone:
Эмодзи: 🧑🏽‍❤️‍💋‍🧑🏾, Идентификатор: :kiss_person_person_medium_skin_tone_medium-dark_skin_tone:
Эмодзи: 🧑🏽‍❤‍💋‍🧑🏾, Идентификатор: :kiss_person_person_medium_skin_tone_medium-dark_skin_tone:
Эмодзи: 🧑🏽‍❤️‍💋‍🧑🏼, Идентификатор: :kiss_person_person_medium_skin_tone_medium-light_skin_tone:
Эмодзи: 🧑🏽‍❤‍💋‍🧑🏼, Идентификатор: :kiss_person_person_medium_skin_tone_medium-light_skin_tone:
Эмодзи: 👩‍❤️‍💋‍👨, Идентификатор: :kiss_woman_man:
Эмодзи: 👩‍❤‍💋‍👨, Идентификатор: :kiss_woman_man:
Эмодзи: 👩🏿‍❤️‍💋‍👨🏿, Идентификатор: :kiss_woman_man_dark_skin_tone:
Эмодзи: 👩🏿‍❤‍💋‍👨🏿, Идентификатор: :kiss_woman_man_dark_skin_tone:
Эмодзи: 👩🏿‍❤️‍💋‍👨🏻, Идентификатор: :kiss_woman_man_dark_skin_tone_light_skin_tone:
Эмодзи: 👩🏿‍❤‍💋‍👨🏻, Идентификатор: :kiss_woman_man_dark_skin_tone_light_skin_tone:
Эмодзи: 👩🏿‍❤️‍💋‍👨🏾, Идентификатор: :kiss_woman_man_dark_skin_tone_medium-dark_skin_tone:
Эмодзи: 👩🏿‍❤‍💋‍👨🏾, Идентификатор: :kiss_woman_man_dark_skin_tone_medium-dark_skin_tone:
Эмодзи: 👩🏿‍❤️‍💋‍👨🏼, Идентификатор: :kiss_woman_man_dark_skin_tone_medium-light_skin_tone:
Эмодзи: 👩🏿‍❤‍💋‍👨🏼, Идентификатор: :kiss_woman_man_dark_skin_tone_medium-light_skin_tone:
Эмодзи: 👩🏿‍❤️‍💋‍👨🏽, Идентификатор: :kiss_woman_man_dark_skin_tone_medium_skin_tone:
Эмодзи: 👩🏿‍❤‍💋‍👨🏽, Идентификатор: :kiss_woman_man_dark_skin_tone_medium_skin_tone:
Эмодзи: 👩🏻‍❤️‍💋‍👨🏻, Идентификатор: :kiss_woman_man_light_skin_tone:
Эмодзи: 👩🏻‍❤‍💋‍👨🏻, Идентификатор: :kiss_woman_man_light_skin_tone:
Эмодзи: 👩🏻‍❤️‍💋‍👨🏿, Идентификатор: :kiss_woman_man_light_skin_tone_dark_skin_tone:
Эмодзи: 👩🏻‍❤‍💋‍👨🏿, Идентификатор: :kiss_woman_man_light_skin_tone_dark_skin_tone:
Эмодзи: 👩🏻‍❤️‍💋‍👨🏾, Идентификатор: :kiss_woman_man_light_skin_tone_medium-dark_skin_tone:
Эмодзи: 👩🏻‍❤‍💋‍👨🏾, Идентификатор: :kiss_woman_man_light_skin_tone_medium-dark_skin_tone:
Эмодзи: 👩🏻‍❤️‍💋‍👨🏼, Идентификатор: :kiss_woman_man_light_skin_tone_medium-light_skin_tone:
Эмодзи: 👩🏻‍❤‍💋‍👨🏼, Идентификатор: :kiss_woman_man_light_skin_tone_medium-light_skin_tone:
Эмодзи: 👩🏻‍❤️‍💋‍👨🏽, Идентификатор: :kiss_woman_man_light_skin_tone_medium_skin_tone:
Эмодзи: 👩🏻‍❤‍💋‍👨🏽, Идентификатор: :kiss_woman_man_light_skin_tone_medium_skin_tone:
Эмодзи: 👩🏾‍❤️‍💋‍👨🏾, Идентификатор: :kiss_woman_man_medium-dark_skin_tone:
Эмодзи: 👩🏾‍❤‍💋‍👨🏾, Идентификатор: :kiss_woman_man_medium-dark_skin_tone:
Эмодзи: 👩🏾‍❤️‍💋‍👨🏿, Идентификатор: :kiss_woman_man_medium-dark_skin_tone_dark_skin_tone:
Эмодзи: 👩🏾‍❤‍💋‍👨🏿, Идентификатор: :kiss_woman_man_medium-dark_skin_tone_dark_skin_tone:
Эмодзи: 👩🏾‍❤️‍💋‍👨🏻, Идентификатор: :kiss_woman_man_medium-dark_skin_tone_light_skin_tone:
Эмодзи: 👩🏾‍❤‍💋‍👨🏻, Идентификатор: :kiss_woman_man_medium-dark_skin_tone_light_skin_tone:
Эмодзи: 👩🏾‍❤️‍💋‍👨🏼, Идентификатор: :kiss_woman_man_medium-dark_skin_tone_medium-light_skin_tone:
Эмодзи: 👩🏾‍❤‍💋‍👨🏼, Идентификатор: :kiss_woman_man_medium-dark_skin_tone_medium-light_skin_tone:
Эмодзи: 👩🏾‍❤️‍💋‍👨🏽, Идентификатор: :kiss_woman_man_medium-dark_skin_tone_medium_skin_tone:
Эмодзи: 👩🏾‍❤‍💋‍👨🏽, Идентификатор: :kiss_woman_man_medium-dark_skin_tone_medium_skin_tone:
Эмодзи: 👩🏼‍❤️‍💋‍👨🏼, Идентификатор: :kiss_woman_man_medium-light_skin_tone:
Эмодзи: 👩🏼‍❤‍💋‍👨🏼, Идентификатор: :kiss_woman_man_medium-light_skin_tone:
Эмодзи: 👩🏼‍❤️‍💋‍👨🏿, Идентификатор: :kiss_woman_man_medium-light_skin_tone_dark_skin_tone:
